Scottish Parliament elections 2016 - Results- Constituencies,,,GENERAL,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballots (%),CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,Win,Second
S16000123,Greenock & Inverclyde,West Scotland," 55,172 "," 31,838 "," 31,725 ", 113 ,57.7,0.4," 4,487 "," 8,802 "," 1,404 "," 17,032 ", -   , -   , -   , -   ,14.1,27.7,4.4,53.7,0.0,0.0,0.0,0.0,SNP,Lab
S16000124,"Hamilton, Larkhall & Stonehouse",Central," 57,662 "," 28,995 "," 28,885 ", 110 ,50.3,0.4," 5,596 "," 8,508 ", 836 ," 13,945 ", -   , -   , -   , -   ,19.4,29.5,2.9,48.3,0.0,0.0,0.0,0.0,SNP,Lab
S16000125,Inverness & Nairn,Highlands and Islands," 66,619 "," 38,539 "," 38,317 ", 222 ,57.8,0.6," 7,648 "," 6,719 "," 5,445 "," 18,505 ", -   , -   , -   , -   ,20.0,17.5,14.2,48.3,0.0,0.0,0.0,0.0,SNP,Con
S16000126,Kilmarnock & Irvine Valley,South Scotand," 62,620 "," 34,501 "," 34,385 ", 116 ,55.1,0.3," 6,597 "," 7,853 ", 888 ," 19,047 ", -   , -   , -   , -   ,19.2,22.8,2.6,55.4,0.0,0.0,0.0,0.0,SNP,Lab
S16000127,Kirkcaldy,Mid Scotland and Fife," 59,533 "," 31,267 "," 31,108 ", 159 ,52.5,0.5," 4,568 "," 8,963 "," 1,219 "," 16,358 ", -   , -   , -   , -   ,14.7,28.8,3.9,52.6,0.0,0.0,0.0,0.0,SNP,Lab
S16000128,Linlithgow,Lothian," 71,434 "," 38,550 "," 38,407 ", 143 ,54.0,0.4," 7,699 "," 10,027 "," 1,319 "," 19,362 ", -   , -   , -   , -   ,20.1,26.1,3.4,50.4,0.0,0.0,0.0,0.0,SNP,Lab
S16000129,Mid Fife & Glenrothes,Mid Scotland and Fife," 53,241 "," 28,621 "," 28,547 ", 74 ,53.8,0.3," 4,427 "," 7,279 "," 1,286 "," 15,555 ", -   , -   , -   , -   ,15.5,25.5,4.5,54.5,0.0,0.0,0.0,0.0,SNP,Lab
S16000130,Midlothian North & Musselburgh,Lothian," 63,360 "," 34,825 "," 34,685 ", 140 ,55.0,0.4," 6,267 "," 9,913 "," 1,557 "," 16,948 ", -   , -   , -   , -   ,18.1,28.6,4.5,48.9,0.0,0.0,0.0,0.0,SNP,Lab
S16000131,"Midlothian South, Tweeddale & Lauderdale",South Scotand," 60,203 "," 35,737 "," 35,581 ", 156 ,59.4,0.4," 10,163 "," 5,701 "," 3,686 "," 16,031 ", -   , -   , -   , -   ,28.6,16.0,10.4,45.1,0.0,0.0,0.0,0.0,SNP,Con
S16000132,Moray,Highlands and Islands," 61,969 "," 33,544 "," 33,421 ", 123 ,54.1,0.4," 12,867 "," 3,547 "," 1,265 "," 15,742 ", -   , -   , -   , -   ,38.5,10.6,3.8,47.1,0.0,0.0,0.0,0.0,SNP,Con
S16000133,Motherwell & Wishaw,Central," 57,062 "," 29,244 "," 29,111 ", 133 ,51.2,0.5," 3,991 "," 9,068 ", 761 ," 15,291 ", -   , -   , -   , -   ,13.7,31.2,2.6,52.5,0.0,0.0,0.0,0.0,SNP,Lab
S16000110,Nah h-Eilanan an Iar,Highlands and Islands," 21,695 "," 13,265 "," 13,206 ", 59 ,61.1,0.4," 1,499 "," 3,378 ", 293 ," 6,874 ", -   , -   , -   ," 1,162 ",11.4,25.6,2.2,52.1,0.0,0.0,0.0,8.8,SNP,Lab
S16000134,North East Fife,Mid Scotland and Fife," 54,052 "," 34,164 "," 34,063 ", 101 ,63.2,0.3," 5,646 "," 2,026 "," 14,928 "," 11,463 ", -   , -   , -   , -   ,16.6,6.0,43.8,33.7,0.0,0.0,0.0,0.0,LD,SNP
S16000135,Orkney Islands,Highlands and Islands," 16,997 "," 10,562 "," 10,534 ", 28 ,62.1,0.3, 435 , 304 ," 7,096 "," 2,562 ", 137 , -   , -   , -   ,4.1,2.9,67.4,24.3,1.3,0.0,0.0,0.0,LD,SNP
S16000136,Paisley,West Scotland," 51,673 "," 29,592 "," 29,464 ", 128 ,57.3,0.4," 3,533 "," 9,483 "," 1,766 "," 14,682 ", -   , -   , -   , -   ,12.0,32.2,6.0,49.8,0.0,0.0,0.0,0.0,SNP,Lab
S16000137,Perthshire North,Mid Scotland and Fife," 54,225 "," 34,137 "," 34,025 ", 112 ,63.0,0.3," 13,190 "," 2,604 "," 1,705 "," 16,526 ", -   , -   , -   , -   ,38.8,7.7,5.0,48.6,0.0,0.0,0.0,0.0,SNP,Con
S16000138,Perthshire South & Kinross-shire,Mid Scotland and Fife," 59,364 "," 36,261 "," 36,149 ", 112 ,61.1,0.3," 13,893 "," 3,389 "," 3,008 "," 15,315 ", -   , -   , -   , 544 ,38.4,9.4,8.3,42.4,0.0,0.0,0.0,1.5,SNP,Con
