Scottish Parliament elections 2016 - Results- Regional list,,,GENERAL,,,,,,VOTES CAST,,,,,,,,,,,,,,,,,VOTE SHARE %,,,,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballot (%),CON,LAB,LIB,SNP,SGRN,UKIP,IND,SOL,RISE,CHP,WEP,SLBR,ABBUP,COMP,NF,ANWP,Others,CON,LAB,LIB,SNP,SGRN,UKIP,IND,Others,,,,,
S16000108,Edinburgh Southern,Lothian,"59,587","38,523",38459,64,64.65,0.17,"11,215","8,425","1,982","8,934","6,476",376,0,98,264,0,689,0,0,0,0,0,0,29.2,21.9,5.2,23.2,16.8,1.0,0.0,0.0,,,,,
S16000109,Edinburgh Western,Lothian,"61,666","39,913",39858,55,64.72,0.14,"10,199","4,624","8,321","12,835","2,760",594,0,101,115,0,309,0,0,0,0,0,0,25.6,11.6,20.9,32.2,6.9,1.5,0.0,0.0,,,,,
S16000111,"Ettrick, Roxburgh & Berwickshire",South Scotand,"54,517","33,189",33121,68,60.88,0.20,"15,452","2,251","2,851","10,068","1,481",771,0,67,68,0,0,0,0,0,0,0,112,46.7,6.8,8.6,30.4,4.5,2.3,0.0,0.3,,,,,
S16000112,Falkirk East,Central Scotland,"60,271","32,632",32587,45,54.14,0.14,"6,450","7,281",716,"15,199","1,537",812,63,154,96,279,0,0,0,0,0,0,0,19.8,22.3,2.2,46.6,4.7,2.5,0.2,0.0,,,,,
S16000113,Falkirk West,Central Scotland,"59,812","32,197",32154,43,53.83,0.13,"5,923","6,272",679,"15,987","1,809",775,85,225,132,267,0,0,0,0,0,0,0,18.4,19.5,2.1,49.7,5.6,2.4,0.3,0.0,,,,,
S16000114,Galloway & West Dumfries,South Scotand,"56,321","33,484",33427,57,59.45,0.17,"13,162","4,789",824,"12,033","1,431",852,0,112,91,0,0,0,0,0,0,0,133,39.4,14.3,2.5,36.0,4.3,2.6,0.0,0.4,,,,,
S16000115,Glasgow Anniesland,Glasgow,"57,884","29,240",29182,58,50.51,0.20,"4,107","7,079",748,"12,548","2,778",523,29,265,172,230,233,0,279,0,0,191,0,14.1,24.3,2.6,43.0,9.5,1.8,0.1,0.0,,,,,
S16000116,Glasgow Cathcart,Glasgow,"60,871","30,807",30739,68,50.61,0.22,"4,598","6,229",832,"13,240","3,535",536,33,399,385,200,235,0,263,0,0,254,0,15.0,20.3,2.7,43.1,11.5,1.7,0.1,0.0,,,,,
S16000117,Glasgow Kelvin,Glasgow,"62,203","28,551",28464,87,45.90,0.30,"3,701","5,373",945,"10,416","5,760",367,40,234,506,158,573,0,160,0,0,231,0,13.0,18.9,3.3,36.6,20.2,1.3,0.1,0.0,,,,,
S16000118,Glasgow Maryhill & Springburn,Glasgow,"53,647","23,802",23751,51,44.37,0.21,"2,305","6,055",438,"11,296","1,903",452,25,283,199,150,198,0,265,0,0,182,0,9.7,25.5,1.8,47.6,8.0,1.9,0.1,0.0,,,,,
