ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both) ,Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05001125,North Tyneside,Monkseaton South,"7,727","3,254",42.1,"3,232",41.8,"3,331",43.1,0,16,0,6,0,22,1981,1,0,1982,9,1526,2,0,0,0,0,0,454,1982,1526,28,49,1449,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05001126,North Tyneside,Northumberland,"6,867","2,338",34.0,"2,328",33.9,"2,383",34.7,0,4,0,6,0,10,1486,0,0,1486,4,1114,1,0,0,0,0,0,371,1486,1114,22,23,1069,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05001127,North Tyneside,Preston,"6,908","2,715",39.3,"2,705",39.2,"2,792",40.4,2,2,0,6,0,10,1603,1,0,1604,17,1233,7,0,0,0,0,0,364,1604,1233,18,59,1156,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05001128,North Tyneside,Riverside,"8,373","2,354",28.1,"2,343",28.0,"2,391",28.6,0,2,0,9,0,11,1582,3,0,1585,5,1150,3,0,0,2,0,0,430,1585,1150,16,21,1113,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05001129,North Tyneside,St. Marys,"6,958","3,310",47.6,"3,295",47.4,"3,357",48.2,0,12,1,2,0,15,1927,2,0,1929,7,1460,0,0,0,0,0,0,469,1929,1460,42,5,1413,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001130,North Tyneside,Tynemouth,"8,641","3,681",42.6,"3,663",42.4,"3,739",43.3,0,4,0,14,0,18,1729,2,0,1731,9,1327,17,0,0,0,0,0,387,1731,1327,30,28,1269,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001131,North Tyneside,Valley,"8,637","2,428",28.1,"2,413",27.9,"2,500",28.9,0,2,0,13,0,15,1746,1,0,1747,8,1203,5,0,0,0,0,0,539,1747,1203,32,40,1131,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001132,North Tyneside,Wallsend,"8,080","2,432",30.1,"2,430",30.1,"2,527",31.3,0,1,0,1,0,2,1411,3,0,1414,8,1036,9,0,0,0,0,0,369,1414,1036,34,61,941,2,,,,,,,,,,,,,,,,,,,,,,,,,
E05001133,North Tyneside,Weetslade,"7,780","2,995",38.5,"2,986",38.4,"3,050",39.2,0,0,0,9,0,9,2283,1,0,2284,5,1655,4,0,0,2,0,0,623,2284,1655,16,39,1600,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05001134,North Tyneside,Whitley Bay,"7,369","2,922",39.7,"2,902",39.4,"2,983",40.5,0,0,0,20,0,20,1476,0,0,1476,10,1071,3,0,0,0,0,0,402,1476,1071,12,49,1010,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05000719,Oldham,Alexandra,"7,401","2,854",38.6,"2,833",38.3,"2,898",39.2,,6,,15,,21,1415,8,,1423,6,1046,3,,7,,,9,358,1423,1046,2,42,1002,44,n/a,,158,,453,06/05/2014,06/05/2014,1682,36,yes,63,8,3,143,155,89,34,210,Idoc,Selcheck,121,,,,
E05000720,Oldham,Chadderton Central,"7,965","2,871",36.0,"2,854",35.8,"2,878",36.1,,2,,16,,17,954,8,,962,7,685,4,,1,,,2,270,962,685,2,5,678,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000721,Oldham,CHADDERTON NORTH,"8,407","2,876",34.2,"2,862",34.0,"2,889",34.4,,4,,10,,14,921,4,,925,3,689,1,,3,,,2,227,922,689,1,12,676,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000722,Oldham,Chadderton South,"8,122","2,380",29.3,"2,368",29.2,"2,385",29.4,,2,,10,,12,739,,,739,3,535,4,,,,,,200,739,535,2,3,530,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000723,Oldham,Coldhurst,"8,649","3,626",41.9,"3,576",41.3,"3,703",42.8,,5,,45,,50,1749,1,,1750,11,1297,3,,,,,8,442,1750,1297,6,71,1220,77,,,,,,,,,,,,,,,,,,,,,,,,,
E05000724,Oldham,CROMPTON,"8,444","2,902",34.4,"2,893",34.3,"2,918",34.6,,1,,8,,9,1069,1,,1070,3,821,5,,1,,,2,241,1070,821,8,8,805,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05000725,Oldham,Failsworth East,"8,007","2,247",28.1,"2,240",28.0,"2,252",28.1,,1,,6,,7,673,,,673,1,515,2,,,,,,156,673,515,3,2,510,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000726,Oldham,Failsworth West,"7,876","2,552",32.4,"2,546",32.3,"2,557",32.5,,1,,5,,6,609,2,,611,3,503,5,1,1,,,1,100,611,503,,5,498,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000727,Oldham,Hollinwood,"7,683","2,191",28.5,"2,178",28.3,"2,205",28.7,,,,13,,13,654,1,,655,1,477,2,,1,,,3,172,655,477,4,10,463,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000728,Oldham,Medlock Vale,"8,483","3,218",37.9,"3,204",37.8,"3,263",38.5,,3,,11,,14,1259,4,,1263,1,997,6,,4,4,,,252,1263,997,6,39,952,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05000729,Oldham,Royton North,"8,047","2,733",34.0,"2,719",33.8,"2,741",34.1,,2,,12,,14,911,,,911,1,660,1,,,,,2,248,911,660,1,7,652,8,,,,,,,,,,,,,,,,,,,,,,,,,
E05000730,Oldham,Royton South,"8,505","2,584",30.4,"2,575",30.3,"2,598",30.5,,2,,7,,9,1026,3,,1029,1,724,8,1,2,,,3,291,1029,724,5,9,710,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000731,Oldham,Saddleworth North,"7,775","3,161",40.7,"3,150",40.5,"3,168",40.7,,1,,10,,11,812,5,,817,5,587,3,,,,,,227,817,587,2,5,580,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000732,Oldham,Saddleworth South,"8,111","3,397",41.9,"3,384",41.7,"3,403",42.0,,2,,11,,13,1026,,,1026,7,756,2,,,,,1,267,1026,756,,6,750,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05000733,Oldham,Saddleworth West & Lees,"8,492","2,965",34.9,"2,956",34.8,"2,977",35.1,,1,,8,,9,864,4,,864,2,624,2,,,,,2,236,864,624,1,11,612,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05000736,Oldham,Shaw,"7,823","2,587",33.1,"2,579",33.0,"2,602",33.3,,1,,7,,8,807,,,807,2,642,,,,,,,165,807,642,6,9,627,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000734,Oldham,St. James,"7,846","2,220",28.3,"2,220",28.3,"2,227",28.4,,,,,,0,680,1,,681,,474,3,,1,,,1,202,681,474,2,5,467,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000735,Oldham,St. Marys,"8,981","3,560",39.6,"3,532",39.3,"3,613",40.2,,4,1,23,,28,1403,13,,1416,4,1057,17,,9,,,1,332,1416,1057,6,47,1004,53,,,,,,,,,,,,,,,,,,,,,,,,,
E05000737,Oldham,Waterhead,"8,472","2,778",32.8,"2,767",32.7,"2,798",33.0,,2,,9,,11,948,,,948,1,729,,,,,,3,216,948,729,6,14,709,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05000738,Oldham,Werneth,"7,734","3,419",44.2,"3,402",44.0,"3,504",45.3,,3,,14,,17,2141,27,,2168,14,1676,2,,20,,,,470,2168,1676,8,77,1591,85,,,,,,,,,,,,,,,,,,,,,,,,,
E05000739,Rochdale,Balderstone & Kirkholt,"7,300","2,220",30.4,"2,202",30.2,"2,247",30.8,0,5,0,13,0,18,1678,1,,1679,2,998,3,,1,,,4,673,1679,998,1,16,971,27,43,14,106,1,42,01/05/2014,01-02/05/2014,2710,22,yes,12,5,7,52,73,37,119,72,Halarose,Halarose,114,,,,
E05000740,Rochdale,Bamford,"7,717","2,880",37.3,"2,837",36.8,"2,899",37.6,0,5,0,38,0,43,1343,1,,1344,,940,2,,1,,,,401,1344,940,2,4,921,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05000741,Rochdale,Castleton,"7,785","2,593",33.3,"2,564",32.9,"2,604",33.4,0,1,0,28,0,29,880,2,,882,1,617,,,2,,,,263,882,617,2,3,606,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05000742,Rochdale,Central Rochdale,"7,354","3,192",43.4,"3,154",42.9,"3,212",43.7,0,9,0,29,0,38,1074,3,,1077,2,778,15,2,1,,,,281,1077,778,1,13,758,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05000743,Rochdale,East Middleton,"7,851","2,335",29.7,"2,318",29.5,"2,350",29.9,0,2,0,15,0,17,761,,,761,2,527,9,,,,,3,222,761,527,,6,512,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000744,Rochdale,Healey,"7,964","3,000",37.7,"2,987",37.5,"3,006",37.7,0,3,0,10,0,13,1368,,,1368,1,907,,,,,,,461,1368,907,,6,901,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05000745,Rochdale,Hopwood Hall,"8,390","2,464",29.4,"2,456",29.3,"2,481",29.6,0,1,0,7,0,8,916,2,,918,,647,11,1,1,,,2,256,918,647,3,8,630,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05000746,Rochdale,Kingsway,"8,424","2,935",34.8,"2,906",34.5,"2,963",35.2,0,7,0,12,0,29,1450,6,,1456,,996,,,6,,,,447,1456,996,1,15,968,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05000747,Rochdale,Littleborough Lakeside,"7,719","2,765",35.8,"2,757",35.7,"2,777",36.0,0,0,0,8,0,8,1114,2,,1116,1,729,24,1,1,,,,361,1116,729,1,7,717,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05000748,Rochdale,Milkstone & Deeplish,"7,637","3,160",41.4,"3,140",41.1,"3,189",41.8,0,4,0,16,0,20,1356,1,,1357,3,832,5,1,,,,,519,1357,832,4,16,803,29,,,,,,,,,,,,,,,,,,,,,,,,,
E05000749,Rochdale,Milnrow & Newhey,"7,897","3,096",39.2,"3,076",39.0,"3,110",39.4,0,3,0,17,0,20,1222,1,,1223,,892,6,1,,,,,324,1223,892,1,6,878,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000750,Rochdale,Norden,"7,779","2,712",34.9,"2,704",34.8,"2,730",35.1,0,1,0,7,0,8,1182,,,1182,1,785,9,,,,,,388,1182,785,,15,767,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05000751,Rochdale,North Heywood,"7,546","2,580",34.2,"2,572",34.1,"2,611",34.6,0,3,0,5,0,8,1343,7,,1350,4,881,22,1,6,,,,440,1350,881,1,17,850,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000752,Rochdale,North Middleton,"7,849","2,092",26.7,"2,087",26.6,"2,101",26.8,0,1,0,4,0,5,710,2,,712,,482,16,,2,,,,212,712,482,,2,473,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000753,Rochdale,Smallbridge & Firgrove,"8,068","2,595",32.2,"2,533",31.4,"2,625",32.5,0,6,0,56,0,62,1155,,,1155,1,722,8,,,,,,425,1155,722,1,12,692,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05000754,Rochdale,South Middleton,"7,970","2,929",36.8,"2,923",36.7,"2,937",36.9,0,2,0,4,0,6,922,1,,923,3,690,12,,1,,,,220,923,690,,4,682,8,,,,,,,,,,,,,,,,,,,,,,,,,
E05000755,Rochdale,Spotland & Falinge,"7,980","3,034",38.0,"3,018",37.8,"3,061",38.4,0,0,0,16,0,16,1354,5,,1359,2,917,13,,5,,,1,423,1359,917,,6,890,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000756,Rochdale,Wardle & West Littleborough,"7,492","2,416",32.2,"2,403",32.1,"2,422",32.3,0,0,0,13,0,13,925,,,925,2,633,11,,,,,1,280,925,633,,1,627,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05000757,Rochdale,West Heywood,"8,572","2,387",27.8,"2,380",27.8,"2,400",28.0,0,0,0,7,0,7,812,1,,813,2,576,15,,1,,,,221,813,576,2,2,563,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000758,Rochdale,West Middleton,"8,626","2,330",27.0,"2,322",26.9,"2,345",27.2,0,0,0,8,0,8,1154,,,1154,3,798,28,,,,,3,325,1154,798,4,3,783,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05008935,Rotherham,ANSTON & WOODSETTS,"8,890","3,460",38.9,"3,453",38.8,"3,528",39.7,0,0,0,7,0,7,2484,0,0,2484,1,1823,7,0,0,0,0,2,652,2484,1823,11,34,1755,121,78,15,137,2,138,02/05/2014,09/05/2014,2250,24,Yes,61,9,200,191,528,112,151,867,Xpress,Xpress,166,,,,
E05001019,Rotherham,Boston Castle,"9,572","3,661",38.2,"3,640",38.0,"3,774",39.4,0,1,0,20,0,21,2555,5,0,2560,7,1851,11,4,1,0,0,5,688,2560,1851,14,57,1738,111,,,,,,,,,,,,,,,,,,,,,,,,,
E05001020,Rotherham,Brinsworth & Catcliffe,"9,373","3,300",35.2,"3,262",34.8,"3,429",36.6,0,8,0,30,0,38,2505,0,0,2505,7,1875,7,0,0,0,0,1,622,2505,1875,9,44,1746,126,,,,,,,,,,,,,,,,,,,,,,,,,
E05008936,Rotherham,Dinnington,"9,753","3,101",31.8,"3,067",31.4,"3,180",32.6,0,2,0,32,0,34,2417,2,0,2419,4,1621,6,1,1,0,0,7,783,2419,1621,15,39,1542,98,,,,,,,,,,,,,,,,,,,,,,,,,
E05001022,Rotherham,Hellaby,"9,363","3,545",37.9,"3,527",37.7,"3,593",38.4,0,3,1,14,0,18,2743,1,0,2744,7,1819,5,1,0,0,0,9,910,2744,1819,17,37,1771,97,,,,,,,,,,,,,,,,,,,,,,,,,
E05001023,Rotherham,Holderness,"9,615","3,378",35.1,"3,369",35.0,"3,460",36.0,0,1,0,8,0,9,2610,4,0,2614,11,1857,2,2,2,0,0,2,749,2614,1857,11,37,1775,72,,,,,,,,,,,,,,,,,,,,,,,,,
E05001024,Rotherham,Hoober,"9,538","2,916",30.6,"2,890",30.3,"3,036",31.8,0,5,0,21,0,26,2271,2,0,2273,2,1566,9,2,0,0,0,4,692,2273,1566,17,41,1446,134,,,,,,,,,,,,,,,,,,,,,,,,,
E05001025,Rotherham,Keppel,"9,267","3,361",36.3,"3,342",36.1,"3,454",37.3,0,1,0,18,0,19,2656,0,0,2656,5,1871,3,0,0,0,0,3,779,2656,1871,17,31,1778,97,,,,,,,,,,,,,,,,,,,,,,,,,
E05001026,Rotherham,Maltby,"8,927","2,847",31.9,"2,827",31.7,"2,924",32.8,0,3,0,17,0,20,2001,2,0,2003,2,1452,2,1,1,0,0,4,543,2003,1452,11,36,1375,77,,,,,,,,,,,,,,,,,,,,,,,,,
E05001027,Rotherham,Rawmarsh,"9,610","3,029",31.5,"3,010",31.3,"3,126",32.5,0,6,0,13,0,19,2072,1,0,2073,2,1491,3,1,0,0,0,4,574,2073,1491,15,28,1394,95,,,,,,,,,,,,,,,,,,,,,,,,,
E05001028,Rotherham,Rother Vale,"9,233","2,789",30.2,"2,718",29.4,"2,980",32.3,0,10,0,61,0,71,2334,3,0,2337,4,1676,10,1,2,0,0,2,646,2337,1676,7,33,1485,89,,,,,,,,,,,,,,,,,,,,,,,,,
E05001029,Rotherham,Rotherham East,"9,193","2,956",32.2,"2,936",31.9,"3,073",33.4,0,3,0,17,0,20,2034,2,0,2036,2,1484,15,0,2,0,0,9,526,2036,1484,14,54,1367,109,,,,,,,,,,,,,,,,,,,,,,,,,
E05001030,Rotherham,Rotherham West,"9,565","3,587",37.5,"3,560",37.2,"3,685",38.5,0,3,0,24,0,27,2309,1,0,2310,5,1749,5,0,1,0,0,2,553,2310,1749,11,48,1651,94,,,,,,,,,,,,,,,,,,,,,,,,,
E05001031,Rotherham,Silverwood,"9,608","3,245",33.8,"3,230",33.6,"3,355",34.9,0,4,0,11,0,15,2654,2,0,2645,4,1917,4,2,0,0,0,1,723,2647,1917,13,45,1807,111,,,,,,,,,,,,,,,,,,,,,,,,,
E05001032,Rotherham,Sitwell,"9,491","4,203",44.3,"4,184",44.1,"4,298",45.3,0,0,0,19,0,19,2918,0,0,2918,0,2231,10,0,0,0,0,2,675,2918,2231,13,45,2136,89,,,,,,,,,,,,,,,,,,,,,,,,,
E05001033,Rotherham,Swinton,"9,183","3,171",34.5,"3,155",34.4,"3,270",35.6,0,0,0,16,0,16,2256,2,0,2258,3,1691,5,0,2,0,0,3,557,2258,1691,10,34,1592,95,,,,,,,,,,,,,,,,,,,,,,,,,
E05001034,Rotherham,Valley,"9,437","3,015",31.9,"2,959",31.4,"3,166",33.5,0,4,0,52,0,56,2309,5,0,2314,6,1683,10,2,3,0,0,8,608,2314,1863,12,43,1532,153,,,,,,,,,,,,,,,,,,,,,,,,,
E05001035,Rotherham,Wales,"8,795","3,112",35.4,"3,095",35.2,"3,164",36.0,0,1,1,15,0,17,2304,1,0,2305,1,1621,1,1,0,0,0,3,679,2305,1621,4,23,1569,54,,,,,,,,,,,,,,,,,,,,,,,,,
E05001036,Rotherham,Wath,"10,145","3,292",32.4,"3,270",32.2,"3,383",33.3,0,3,0,19,0,22,2505,2,0,2507,6,1742,3,1,1,0,0,9,751,2507,1742,17,38,1651,86,,,,,,,,,,,,,,,,,,,,,,,,,
E05001037,Rotherham,Wickersley,"9,312","3,576",38.4,"3,559",38.2,"3,664",39.3,0,0,0,17,0,17,2435,4,0,2439,6,1870,3,1,3,0,0,2,560,2439,1870,17,46,1782,93,,,,,,,,,,,,,,,,,,,,,,,,,
E05001038,Rotherham,Wingfield,"9,109","2,934",32.2,"2,917",32.0,"3,049",33.5,0,0,6,11,0,17,2265,2,0,2267,3,1666,9,1,1,0,0,2,588,2267,1666,15,38,1551,118,,,,,,,,,,,,,,,,,,,,,,,,,
E05000759,Salford,Barton,"9,211","2,564",27.8,"2,516",27.3,"2,570",27.9,37,1,0,10,0,48,1703,0,8,1711,8,1128,7,0,0,0,0,8,568,1711,1128,1,5,1122,17,20,5,82,3,15,06/05/2014,07/05/2014,24454,15,Yes,18,6,4,5,5,8,59,36,Idox,Selcheck,131,,,,
E05000760,Salford,Boothstown & Ellenbrook,"7,700","2,661",34.6,"2,652",34.4,"2,664",34.6,0,2,0,7,0,9,1998,0,3,2001,3,1289,8,3,0,0,0,0,701,2001,1289,3,0,1286,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05000761,Salford,Broughton,"9,449","2,774",29.4,"2,747",29.1,"2,782",29.4,0,9,0,18,0,27,1850,7,4,1861,4,1210,11,0,3,0,0,1,636,1861,1210,2,6,1202,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05000762,Salford,Cadishead,"8,304","2,484",29.9,"2,456",29.6,"2,494",30.0,0,7,0,21,0,28,1904,1,2,1907,0,1299,9,0,1,0,0,6,592,1907,1299,3,7,1289,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000763,Salford,Claremont,"8,412","2,953",35.1,"2,937",34.9,"2,958",35.2,8,2,0,6,0,16,1941,16,2,1959,2,1312,9,0,9,0,0,3,626,1959,1312,2,3,1307,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000764,Salford,Eccles,"9,119","3,063",33.6,"2,975",32.6,"3,069",33.7,0,35,0,49,0,88,2243,2,6,2251,6,1493,14,1,1,0,0,0,742,2251,1493,3,3,1487,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05000765,Salford,Irlam,"7,178","2,124",29.6,"2,087",29.1,"2,133",29.7,32,1,0,4,0,37,1579,2,4,1585,0,1015,1,0,1,0,0,10,558,1585,1015,6,3,1006,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000766,Salford,Irwell Riverside,"9,791","2,129",21.7,"2,118",21.6,"2,133",21.8,0,3,0,8,0,11,1175,6,1,1182,1,785,10,0,2,0,0,1,384,1182,785,2,2,781,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000767,Salford,Kersal,"8,756","2,871",32.8,"2,834",32.4,"2,877",32.9,0,2,0,35,0,37,1958,8,7,1973,7,1363,6,0,5,0,0,2,597,1973,1363,2,4,1357,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05000768,Salford,Langworthy,"9,273","2,514",27.1,"2,477",26.7,"2,521",27.2,0,7,0,30,0,37,1424,8,2,1434,2,983,4,0,3,0,0,4,440,1434,983,0,7,976,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05000769,Salford,Little Hulton,"9,509","2,192",23.1,"2,144",22.5,"2,198",23.1,44,3,0,1,0,48,1632,7,4,1643,4,1115,5,1,6,0,0,5,511,1643,1115,5,1,1109,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05000770,Salford,Ordsall,"11,478","2,682",23.4,"2,649",23.1,"2,686",23.4,0,1,0,32,0,33,1601,17,3,1621,3,989,12,0,2,0,0,16,602,1621,989,0,4,985,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05000771,Salford,Pendlebury,"9,410","2,787",29.6,"2,764",29.4,"2,797",29.7,0,4,0,19,0,23,2057,1,3,2061,0,1379,8,0,1,0,0,5,668,2061,1379,9,1,1369,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05000772,Salford,Swinton North,"8,720","2,729",31.3,"2,700",31.0,"2,734",31.4,1,12,1,15,0,29,1914,2,3,1919,3,1354,7,0,2,0,0,7,549,1919,1354,2,3,1349,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05000773,Salford,Swinton South,"8,550","2,453",28.7,"2,421",28.3,"2,464",28.8,0,0,0,32,0,32,1773,3,8,1784,8,1206,8,1,2,0,0,9,558,1784,1206,6,5,1195,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05000774,Salford,WALKDEN NORTH,"8,969","2,360",26.3,"2,353",26.2,"2,362",26.3,0,2,0,5,0,7,1725,1,4,1730,4,1118,10,0,0,0,0,3,599,1730,1118,0,2,1116,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000775,Salford,Walkden South,"8,229","3,127",38.0,"3,117",37.9,"3,136",38.1,0,1,0,9,0,10,2073,5,6,2084,6,1430,12,0,5,0,0,0,637,2084,11430,2,7,1421,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05000776,Salford,Weaste & Seedley,"9,077","2,529",27.9,"2,465",27.2,"2,535",27.9,1,3,0,60,0,64,1677,4,4,1685,4,1061,3,0,0,0,0,5,616,1685,1061,3,3,1055,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05000777,Salford,Winton,"8,991","2,652",29.5,"2,618",29.1,"2,659",29.6,33,0,0,1,0,34,1902,0,10,1912,10,1313,8,0,0,0,0,5,586,1912,1313,6,1,1306,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05000778,Salford,Worsley,"8,352","3,121",37.4,"3,109",37.2,"3,127",37.4,0,2,0,10,0,12,2399,1,5,2405,5,1629,8,0,1,0,0,6,761,2405,1629,2,4,1623,8,,,,,,,,,,,,,,,,,,,,,,,,,
E05001260,Sandwell,ABBEY,"8,691","3,076",35.4,"3,033",34.9,"3,099",35.7,0,6,0,37,0,43,647,1,0,648,1,462,7,0,1,0,0,5,173,648,462,1,10,439,14,419,18,130,0,142,28/04/2014,28/04/2014,762,32,No,14,46,46,213,199,114,77,84,Xpress,Xpress,155,,,,
E05001261,Sandwell,Blackheath,"9,469","2,786",29.4,"2,777",29.3,"2,823",29.8,0,2,0,7,0,9,912,0,0,912,1,682,4,0,0,0,0,6,220,912,682,4,10,645,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001262,Sandwell,Bristnall,"9,265","2,897",31.3,"2,888",31.2,"2,921",31.5,0,2,0,7,0,9,748,4,0,752,5,534,4,0,4,0,0,0,210,752,534,3,10,510,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001263,Sandwell,Charlemont With Grove Vale,"9,440","3,196",33.9,"3,183",33.7,"3,243",34.4,0,6,0,7,0,13,822,0,0,822,0,618,2,0,0,0,0,0,202,822,618,11,16,571,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05001264,Sandwell,Cradley Heath & Old Hill,"10,230","2,922",28.6,"2,834",27.7,"2,994",29.3,0,14,0,74,0,88,911,0,0,911,1,659,7,0,0,0,0,7,238,911,659,6,16,587,29,,,,,,,,,,,,,,,,,,,,,,,,,
E05001265,Sandwell,Friar Park,"9,103","2,518",27.7,"2,505",27.5,"2,551",28.0,0,5,0,8,0,13,661,0,0,661,1,485,4,0,0,0,0,2,170,661,485,1,17,452,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05001266,Sandwell,Great Barr With Yew Tree,"9,800","3,379",34.5,"3,371",34.4,"3,413",34.8,0,1,1,6,0,8,896,3,0,899,6,621,9,0,3,0,0,4,262,899,621,0,19,587,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05001267,Sandwell,Great Bridge,"9,877","2,516",25.5,"2,501",25.3,"2,560",25.9,0,2,0,13,0,15,932,1,0,933,2,613,6,0,1,0,0,5,308,933,613,6,26,569,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05001268,Sandwell,Greets Green & Lyng,"8,532","2,823",33.1,"2,797",32.8,"2,861",33.5,0,6,0,20,0,26,653,2,0,655,3,483,11,0,2,0,0,0,159,655,483,2,16,445,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001269,Sandwell,Hateley Heath,"10,067","3,050",30.3,"3,034",30.1,"3,104",30.8,0,2,0,14,0,16,890,1,0,891,3,680,1,0,1,0,0,4,205,891,680,3,22,626,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05001270,Sandwell,Langley,"9,292","2,656",28.6,"2,549",27.4,"2,733",29.4,0,7,0,100,0,107,1014,1,0,1015,4,687,7,0,1,0,0,4,316,1015,687,1,32,610,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05001271,Sandwell,Newton,"8,920","2,975",33.4,"2,964",33.2,"2,997",33.6,0,3,0,8,0,11,788,2,0,790,5,575,1,0,2,0,0,2,210,790,575,2,12,553,19,,,,,,,,,,,,,,,,,,,,,,,,,
